id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,781,10459,6557549,554,9.39,19.91,350,5.93,10.91,735,12.46,26.77,0.96,0.97,0.47,0.38,44.03,139.03
1,669,20080,4508465,268,5.06,2.32,199,3.75,1.81,357,6.74,3.26,0.87,0.89,0.55,0.43,58.82,137.96
2,564,14778,12386176,359,8.55,13.93,239,5.69,7.0,477,11.36,17.64,0.98,0.98,0.53,0.47,50.94,152.61
3,160,3499,1526176,120,5.71,2.37,75,3.57,1.63,151,7.19,3.79,0.93,0.94,0.5,0.41,67.9,143.59
6,273,7050,6392359,134,4.19,1.82,99,3.09,1.4,212,6.62,3.54,0.92,0.89,0.5,0.43,11.09,104.19
7,609,6195,2877208,405,3.86,1.54,370,3.52,1.58,563,5.36,2.94,0.99,1.0,0.52,0.47,9.51,117.36
8,695,48346,44017709,358,4.11,1.43,331,3.8,1.45,548,6.3,2.99,0.99,0.99,0.49,0.41,9.42,127.96
9,801,7183,3548902,376,4.37,1.47,392,4.56,1.39,590,6.86,2.71,0.99,1.0,0.52,0.48,8.64,165.95
10,230,5956,4020964,128,4.0,1.19,118,3.69,0.97,173,5.41,2.15,0.98,0.98,0.47,0.45,6.6,166.86
11,344,2913,1224738,173,4.32,1.44,167,4.18,1.39,240,6.0,2.78,0.99,1.0,0.6,0.59,6.98,163.51
12,916,8864,3750837,516,4.65,1.67,468,4.22,1.6,716,6.45,2.56,0.99,0.98,0.5,0.48,9.64,147.42
13,451,5802,2511719,250,3.79,1.41,213,3.23,1.3,399,6.05,2.91,0.98,0.99,0.52,0.45,9.49,107.42
14,166,11004,13935730,122,3.39,1.96,105,2.92,1.27,149,4.14,2.82,0.95,0.97,0.6,0.54,17.86,118.21
15,383,28228,3060021,218,3.69,1.43,211,3.58,1.4,330,5.59,2.9,0.95,0.92,0.56,0.51,14.28,124.76
16,536,14217,8842248,245,4.08,1.99,220,3.67,2.14,413,6.88,5.09,0.74,0.58,0.47,0.49,10.65,124.74
17,436,6724,4589982,216,3.72,1.84,203,3.5,1.65,354,6.1,4.51,0.72,0.53,0.43,0.49,6.28,122.42
18,519,5232,2621945,305,4.18,1.77,273,3.74,1.66,438,6.0,2.73,0.72,0.52,0.48,0.55,6.06,133.99
19,118,2053,579696,83,4.61,2.06,66,3.67,1.68,107,5.94,3.39,0.94,0.95,0.45,0.39,18.25,99.57
20,467,7806,4432760,262,4.68,2.49,206,3.68,1.51,390,6.96,4.41,0.86,0.82,0.48,0.43,12.4,122.2
21,418,11165,6586284,256,4.27,1.92,191,3.18,1.28,330,5.5,3.63,0.85,0.76,0.49,0.44,28.19,118.29
22,680,13504,7826610,357,4.2,2.54,297,3.49,1.52,539,6.34,5.37,0.73,0.54,0.45,0.48,10.52,122.41
23,795,6640,3322493,422,4.26,2.04,373,3.77,1.65,683,6.9,3.85,0.8,0.59,0.44,0.47,7.88,136.43
24,426,5409,3201848,211,4.49,3.41,150,3.19,1.6,333,7.09,5.99,0.71,0.51,0.43,0.48,4.99,126.63
25,333,589,440976,110,2.89,1.23,110,2.89,1.35,228,6.0,3.73,0.48,0.23,0.46,0.53,0.64,141.45
26,450,4971,4685404,205,3.66,1.59,173,3.09,1.44,344,6.14,3.24,0.59,0.34,0.47,0.56,11.87,133.81
27,557,2627,1524764,295,3.99,1.91,269,3.64,1.71,449,6.07,2.64,0.63,0.38,0.45,0.56,3.68,135.94
28,468,6415,3657970,234,4.11,2.19,195,3.42,1.87,360,6.32,4.41,0.83,0.76,0.53,0.5,23.73,120.05
29,607,9828,9108549,336,4.25,2.19,285,3.61,1.68,524,6.63,4.43,0.82,0.67,0.46,0.46,9.03,138.71
30,377,6371,6264970,226,4.61,3.44,210,4.29,1.9,306,6.24,4.82,0.76,0.55,0.47,0.56,5.77,137.37
