id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
1464,4,4,184,4,2.0,1.41,4,2.0,1.41,4,2.0,1.41,1.0,1.0,0.66,0.68,0.0,125.0
1555,5,14,692,4,2.0,1.41,5,2.5,0.71,5,2.5,0.71,0.92,0.9,0.58,0.58,31.62,121.84
1624,7,13,709,6,3.0,2.83,7,3.5,3.54,7,3.5,3.54,0.94,0.81,0.34,0.29,5.3,176.42
1630,12,23,1375,11,3.67,0.58,12,4.0,0.0,11,3.67,0.58,1.0,1.0,0.4,0.4,11.26,159.92
1634,13,27,1456,10,5.0,1.41,12,6.0,1.41,11,5.5,2.12,1.0,1.0,0.18,0.18,10.07,159.99
1702,7,13,588,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,1.0,1.0,0.37,0.4,7.9,178.04
1730,7,15,983,5,2.5,0.71,7,3.5,0.71,7,3.5,0.71,1.0,1.0,0.3,0.26,14.5,81.62
1800,14,28,1485,8,4.0,1.41,11,5.5,2.12,11,5.5,2.12,0.96,0.94,0.26,0.26,10.0,185.25
1803,13,46,2799,7,3.5,0.71,12,6.0,1.41,7,3.5,0.71,1.0,1.0,0.24,0.27,2.36,150.29
1807,14,41,2565,9,3.0,1.0,14,4.67,2.52,9,3.0,1.0,0.98,0.98,0.51,0.53,16.98,101.5
1844,8,23,1436,6,3.0,1.41,8,4.0,2.83,7,3.5,2.12,1.0,1.0,0.24,0.31,1.08,150.92
1929,17,53,3355,5,2.5,0.71,16,8.0,1.41,6,3.0,1.41,0.98,0.97,0.41,0.35,21.53,76.03
2006,4,10,472,4,2.0,1.41,4,2.0,1.41,4,2.0,1.41,1.0,1.0,0.21,0.22,0.06,153.67
2128,14,34,2523,7,3.5,0.71,14,7.0,0.0,9,4.5,0.71,1.0,1.0,0.2,0.15,11.58,98.71
2250,8,10,432,6,3.0,0.0,7,3.5,0.71,6,3.0,0.0,1.0,1.0,0.21,0.22,0.0,199.25
2258,12,42,2607,7,3.5,0.71,9,4.5,2.12,7,3.5,0.71,1.0,1.0,0.1,0.1,4.5,189.0
2262,7,25,1402,5,2.5,0.71,7,3.5,2.12,5,2.5,0.71,1.0,1.0,0.26,0.23,10.26,190.85
2299,15,34,1681,10,5.0,1.41,14,7.0,2.83,11,5.5,2.12,1.0,1.0,0.26,0.28,5.54,147.64
2331,10,19,883,8,4.0,1.41,10,5.0,1.41,9,4.5,0.71,0.93,0.92,0.16,0.2,2.67,144.62
2477,11,26,1554,6,3.0,0.0,10,5.0,1.41,7,3.5,0.71,1.0,1.0,0.45,0.41,18.36,161.14
2522,22,28,1369,8,4.0,0.0,11,5.5,0.71,11,5.5,0.71,0.96,0.92,0.18,0.2,0.02,224.36
2707,15,54,3051,6,3.0,1.41,11,5.5,2.12,6,3.0,1.41,1.0,1.0,0.6,0.6,34.0,134.76
2902,12,39,2407,4,2.0,0.0,11,5.5,0.71,4,2.0,0.0,1.0,1.0,0.34,0.3,19.42,71.75
2959,8,28,1555,6,3.0,2.83,8,4.0,2.83,6,3.0,2.83,0.97,0.98,0.46,0.43,37.48,86.34
2974,8,30,1670,3,1.5,0.71,8,4.0,2.83,4,2.0,0.0,1.0,1.0,0.27,0.2,21.97,57.42
2989,10,17,717,8,4.0,0.0,9,4.5,0.71,9,4.5,0.71,1.0,1.0,0.28,0.27,5.28,173.46
3065,7,7,304,4,2.0,0.0,4,2.0,0.0,4,2.0,0.0,1.0,1.0,0.29,0.35,0.0,197.29
3268,3,7,324,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,1.0,1.0,0.54,0.57,15.79,107.0
3281,6,11,580,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,0.92,0.94,0.35,0.4,9.68,104.75
3380,2,8,606,2,1.0,0.0,2,1.0,0.0,2,1.0,0.0,1.0,1.0,0.66,0.67,0.11,57.0
3556,15,42,2548,7,3.5,0.71,14,7.0,1.41,7,3.5,0.71,0.98,0.99,0.47,0.42,23.18,111.53
3625,7,15,1130,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.44,0.48,0.06,133.75
3633,11,32,1912,5,2.5,0.71,10,5.0,1.41,5,2.5,0.71,1.0,1.0,0.62,0.56,29.82,112.68
3740,13,34,2243,8,4.0,0.0,13,6.5,3.54,8,4.0,0.0,0.98,0.88,0.43,0.43,16.6,124.38
3867,9,20,1339,8,4.0,1.41,9,4.5,2.12,9,4.5,2.12,1.0,1.0,0.36,0.29,16.33,152.08
3930,9,18,914,7,3.5,2.12,9,4.5,3.54,9,4.5,3.54,0.9,0.92,0.56,0.58,20.73,160.68
4034,15,19,896,5,2.5,0.71,8,4.0,0.0,6,3.0,0.0,1.0,1.0,0.3,0.36,3.97,212.9
4115,6,6,276,5,2.5,0.71,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.38,0.42,0.0,131.12
4167,9,33,1825,4,2.0,0.0,8,4.0,0.0,5,2.5,0.71,1.0,1.0,0.48,0.48,28.49,162.43
4268,12,17,789,11,3.67,1.15,12,4.0,1.0,11,3.67,1.15,0.93,0.93,0.23,0.22,0.01,130.2
4269,11,15,708,10,3.33,1.53,11,3.67,1.15,10,3.33,1.53,1.0,1.0,0.23,0.23,0.07,126.56
4270,5,7,324,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,1.0,1.0,0.29,0.28,0.0,106.75
4292,12,31,1949,7,3.5,0.71,11,5.5,0.71,7,3.5,0.71,1.0,1.0,0.4,0.38,16.96,103.56
4320,11,18,1067,8,4.0,0.0,11,5.5,2.12,9,4.5,0.71,0.92,0.92,0.36,0.32,1.02,132.8
4395,8,9,388,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,1.0,1.0,0.22,0.23,0.0,179.62
4396,6,13,604,5,1.67,0.58,6,2.0,1.0,5,1.67,0.58,1.0,1.0,0.61,0.59,1.2,80.89
4397,16,20,1260,14,3.5,1.91,16,4.0,2.83,15,3.75,2.36,0.93,0.8,0.29,0.26,0.0,157.53
4471,6,14,649,5,2.5,0.71,6,3.0,0.0,5,2.5,0.71,1.0,1.0,0.46,0.5,10.82,155.0
4525,6,8,384,5,2.5,2.12,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.25,0.32,0.0,178.5
4532,8,31,1699,6,3.0,0.0,8,4.0,1.41,6,3.0,0.0,1.0,1.0,0.48,0.44,16.16,128.6
4561,15,51,2862,5,2.5,0.71,14,7.0,2.83,5,2.5,0.71,1.0,1.0,0.65,0.62,36.82,96.5
4576,11,17,813,11,2.75,0.96,11,2.75,0.96,11,2.75,0.96,0.94,0.89,0.24,0.22,0.02,117.29
4577,14,21,960,14,2.33,1.03,14,2.33,1.03,14,2.33,1.03,1.0,1.0,0.46,0.45,0.01,117.99
4579,25,34,2206,23,5.75,4.03,25,6.25,4.79,24,6.0,4.4,0.94,0.78,0.47,0.39,0.0,99.86
4580,18,25,1178,14,4.67,0.58,16,5.33,0.58,14,4.67,0.58,0.89,0.87,0.25,0.24,0.0,92.64
4581,20,22,970,15,3.75,1.71,20,5.0,2.16,18,4.5,1.73,0.97,0.98,0.27,0.27,0.0,157.06
4595,9,20,1086,6,3.0,0.0,9,4.5,0.71,9,4.5,0.71,0.97,0.96,0.37,0.34,13.25,169.0
4602,11,29,1979,6,3.0,0.0,10,5.0,2.83,6,3.0,0.0,1.0,1.0,0.24,0.22,4.36,142.73
4870,3,14,1027,2,1.0,0.0,3,1.5,0.71,2,1.0,0.0,1.0,1.0,0.38,0.29,38.83,90.5
5133,16,63,4076,7,3.5,2.12,16,8.0,1.41,9,4.5,3.54,0.96,0.92,0.35,0.3,23.36,90.28
5189,11,40,2409,6,3.0,1.41,11,5.5,0.71,6,3.0,1.41,1.0,1.0,0.46,0.4,28.66,128.9
5242,3,16,1304,2,1.0,0.0,3,1.5,0.71,2,1.0,0.0,1.0,1.0,0.66,0.6,47.84,58.0
5262,6,20,1545,4,2.0,1.41,5,2.5,0.71,4,2.0,1.41,1.0,1.0,0.4,0.28,20.24,89.12
5402,8,33,1952,3,1.5,0.71,8,4.0,1.41,4,2.0,1.41,1.0,1.0,0.38,0.36,26.58,89.56
5503,11,11,488,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.18,0.22,0.0,201.24
5568,12,40,2385,7,3.5,0.71,12,6.0,0.0,8,4.0,1.41,1.0,1.0,0.31,0.3,17.6,120.34
5873,10,31,2170,4,2.0,0.0,10,5.0,1.41,5,2.5,0.71,1.0,1.0,0.26,0.2,16.82,111.34
5884,10,25,1575,8,4.0,1.41,10,5.0,2.83,9,4.5,2.12,1.0,1.0,0.4,0.48,1.8,166.28
6051,6,30,1725,3,1.5,0.71,6,3.0,1.41,4,2.0,0.0,1.0,1.0,0.5,0.48,39.49,103.12
6159,3,8,477,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,1.0,1.0,0.42,0.44,4.72,108.0
6247,7,10,500,5,2.5,0.71,7,3.5,0.71,7,3.5,0.71,1.0,1.0,0.21,0.22,1.71,147.29
6397,5,17,912,4,2.0,0.0,5,2.5,0.71,4,2.0,0.0,1.0,1.0,0.69,0.71,27.17,106.16
6401,11,50,2862,4,1.33,0.58,11,3.67,1.53,5,1.67,0.58,0.98,0.97,0.4,0.39,24.84,68.68
6470,7,33,1837,4,2.0,1.41,7,3.5,3.54,4,2.0,1.41,1.0,1.0,0.55,0.52,52.64,70.59
6514,9,16,832,6,3.0,1.41,9,4.5,2.12,9,4.5,2.12,1.0,1.0,0.39,0.41,10.82,155.0
6566,14,45,2543,11,3.67,2.08,14,4.67,2.08,11,3.67,2.08,0.97,0.98,0.52,0.52,34.73,101.81
6676,6,14,641,5,2.5,0.71,6,3.0,0.0,6,3.0,0.0,0.89,0.86,0.21,0.21,0.3,119.5
6693,4,11,941,4,2.0,0.0,4,2.0,0.0,4,2.0,0.0,0.93,0.88,0.27,0.22,2.04,156.25
