id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,26,136,10779,23,5.75,2.06,24,6.0,2.45,26,6.5,2.89,1.0,1.0,0.36,0.41,41.52,183.46
1,38,491,71279,26,6.5,3.11,31,7.75,5.68,26,6.5,3.11,0.92,0.92,0.41,0.41,71.59,146.0
2,27,322,31620,22,5.5,2.38,17,4.25,2.06,22,5.5,2.38,0.78,0.76,0.42,0.42,124.68,119.6
3,24,195,25649,21,4.2,1.3,21,4.2,1.3,23,4.6,1.34,0.8,0.79,0.51,0.54,79.92,172.88
4,18,254,45729,16,3.2,1.48,14,2.8,1.3,17,3.4,1.52,0.8,0.8,0.56,0.55,115.06,115.82
5,12,215,25464,11,2.75,1.26,9,2.25,1.26,12,3.0,1.63,0.79,0.79,0.58,0.57,136.82,102.38
6,16,568,293978,12,3.0,1.41,10,2.5,1.73,14,3.5,1.73,0.78,0.75,0.59,0.48,163.11,99.11
7,36,1648,1293798,30,5.0,1.79,22,3.67,1.37,33,5.5,2.17,0.73,0.71,0.39,0.31,118.4,127.16
8,25,676,644930,23,4.6,1.52,14,2.8,0.84,23,4.6,1.52,0.95,0.95,0.55,0.55,139.9,110.05
9,20,477,103594,16,8.0,1.41,9,4.5,2.12,19,9.5,2.12,0.51,0.5,0.57,0.44,95.3,115.56
10,8,317,77070,8,4.0,2.83,8,4.0,2.83,8,4.0,2.83,0.05,0.02,0.49,0.69,106.66,216.17
11,27,547,82399,22,3.67,1.03,15,2.5,0.55,22,3.67,1.03,0.82,0.83,0.54,0.63,164.22,133.02
12,9,160,30537,7,2.33,0.58,5,1.67,0.58,8,2.67,0.58,1.0,1.0,0.64,0.73,158.2,101.67
13,12,130,71745,11,2.75,1.26,10,2.5,1.0,11,2.75,1.26,0.99,0.98,0.5,0.47,139.91,108.97
14,23,248,26043,19,3.17,0.98,17,2.83,1.17,20,3.33,1.21,0.98,0.96,0.5,0.48,128.34,103.96
15,14,146,15349,13,3.25,1.5,10,2.5,1.29,13,3.25,1.5,1.0,1.0,0.55,0.55,134.85,124.25
16,13,94,11300,11,3.67,1.15,8,2.67,2.08,11,3.67,1.15,1.0,1.0,0.58,0.6,167.84,90.64
17,17,424,76718,16,3.2,1.79,15,3.0,1.73,17,3.4,1.95,0.72,0.73,0.61,0.7,130.97,130.44
18,22,359,41047,16,3.2,1.1,14,2.8,1.1,18,3.6,1.34,0.83,0.81,0.34,0.31,151.8,133.14
19,12,141,10926,11,5.5,0.71,10,5.0,0.0,11,5.5,0.71,1.0,1.0,0.42,0.41,86.14,164.87
20,7,92,6802,5,1.67,1.15,4,1.33,0.58,5,1.67,1.15,1.0,1.0,0.37,0.39,125.08,141.67
21,31,1455,141884,28,4.67,1.03,25,4.17,1.72,29,4.83,1.33,0.91,0.89,0.62,0.65,102.24,166.95
22,39,304,32869,29,4.83,1.17,28,4.67,1.03,32,5.33,1.03,0.95,0.93,0.43,0.47,70.29,169.26
23,18,240,46204,13,4.33,0.58,12,4.0,1.0,14,4.67,0.58,0.69,0.67,0.54,0.68,112.77,175.78
24,37,381,37867,32,5.33,2.34,30,5.0,2.28,35,5.83,2.4,0.86,0.85,0.43,0.43,109.8,168.69
25,29,398,80696,21,4.2,2.39,20,4.0,2.12,22,4.4,2.3,0.8,0.8,0.55,0.6,132.0,130.8
26,26,355,46238,20,5.0,0.82,17,4.25,0.96,21,5.25,0.96,0.99,1.0,0.51,0.55,101.59,149.44
27,32,230,18951,26,4.33,1.97,25,4.17,1.83,28,4.67,1.97,0.94,0.95,0.43,0.43,50.04,169.32
28,14,188,16018,14,2.8,1.3,12,2.4,1.34,14,2.8,1.3,0.95,0.87,0.41,0.45,151.19,112.23
29,20,377,66833,19,3.17,1.72,15,2.5,1.52,20,3.33,1.75,0.86,0.82,0.74,0.79,125.12,116.6
30,18,315,52610,15,3.75,0.5,11,2.75,0.96,15,3.75,0.5,0.88,0.82,0.57,0.6,164.24,124.42
31,16,395,368054,15,3.75,1.71,15,3.75,2.36,16,4.0,2.16,0.92,0.98,0.59,0.48,67.73,149.43
32,13,171,78528,12,3.0,0.82,11,2.75,0.96,13,3.25,0.96,0.98,0.98,0.7,0.65,111.06,131.04
33,31,763,317642,21,4.2,2.39,13,2.6,1.14,27,5.4,3.91,0.98,0.98,0.53,0.36,107.89,119.55
34,17,203,48107,14,3.5,1.29,15,3.75,0.96,14,3.5,1.29,0.84,0.7,0.32,0.37,59.16,115.44
35,11,36,3094,8,2.67,0.58,8,2.67,0.58,8,2.67,0.58,0.94,0.98,0.8,0.89,45.36,151.17
36,15,5841,6864217,13,4.33,2.08,8,2.67,1.15,13,4.33,2.08,0.4,0.39,0.19,0.19,103.72,132.94
37,19,190,26371,17,4.25,0.96,15,3.75,1.26,18,4.5,0.58,1.0,1.0,0.52,0.53,97.24,139.54
38,9,473,114440,7,1.75,1.5,6,1.5,1.0,7,1.75,1.5,0.36,0.32,0.57,0.54,260.77,119.72
39,19,369,69579,18,4.5,1.73,15,3.75,1.71,18,4.5,1.73,0.87,0.85,0.53,0.57,116.81,135.2
40,18,81,8532,17,3.4,1.52,16,3.2,2.28,18,3.6,1.95,0.95,0.96,0.56,0.67,91.98,104.17
41,16,144,38632,14,4.67,1.53,14,4.67,1.15,16,5.33,1.15,0.61,0.61,0.47,0.54,46.43,154.25
42,29,612,84880,24,4.8,1.1,18,3.6,1.34,25,5.0,1.22,0.93,0.95,0.43,0.44,134.01,120.26
43,16,159,17544,13,4.33,1.53,12,4.0,0.0,14,4.67,1.15,0.8,0.76,0.36,0.34,119.38,150.4
44,6,73,5170,4,2.0,0.0,3,1.5,0.71,4,2.0,0.0,1.0,1.0,0.65,0.66,202.72,129.38
45,31,609,105400,26,6.5,1.0,20,5.0,2.16,27,6.75,1.5,0.75,0.63,0.54,0.61,116.99,129.9
46,17,179,33739,16,5.33,2.52,14,4.67,3.79,17,5.67,3.06,0.98,0.97,0.46,0.47,117.32,135.68
47,40,464,65952,24,4.0,1.41,30,5.0,5.97,25,4.17,1.47,0.86,0.83,0.38,0.38,135.65,115.11
48,33,584,90336,24,4.8,0.84,25,5.0,1.58,30,6.0,2.35,0.99,1.0,0.5,0.58,104.1,159.03
49,28,287,24621,22,4.4,2.88,22,4.4,2.61,23,4.6,2.97,1.0,1.0,0.47,0.53,118.37,181.67
50,60,4016,5443131,27,5.4,2.61,51,10.2,6.61,30,6.0,2.55,0.91,0.81,0.36,0.35,43.97,112.26
51,23,148,15299,18,4.5,1.73,21,5.25,2.87,18,4.5,1.73,1.0,1.0,0.53,0.54,67.38,138.4
52,23,387,59298,12,4.0,1.0,17,5.67,3.06,15,5.0,2.0,0.76,0.74,0.42,0.47,102.63,175.33
53,8,135,24672,8,2.67,1.15,6,2.0,1.0,8,2.67,1.15,0.83,0.7,0.48,0.28,141.64,116.42
54,20,314,65040,16,4.0,1.15,18,4.5,2.38,18,4.5,1.29,0.74,0.74,0.47,0.53,88.82,127.77
55,21,297,43254,18,3.6,1.82,14,2.8,1.3,18,3.6,1.82,1.0,0.99,0.56,0.58,134.17,112.53
56,20,463,123940,13,3.25,0.96,10,2.5,1.0,17,4.25,1.71,1.0,1.0,0.63,0.6,185.98,114.18
57,10,140,31856,10,3.33,1.15,6,2.0,1.0,10,3.33,1.15,0.72,0.67,0.79,0.79,140.9,122.5
58,11,179,37223,10,3.33,1.15,9,3.0,1.0,10,3.33,1.15,0.68,0.67,0.35,0.39,130.03,97.32
59,10,36,2852,10,5.0,1.41,8,4.0,1.41,10,5.0,1.41,1.0,1.0,0.64,0.65,79.36,152.29
60,91,3015,2241540,36,6.0,1.79,32,5.33,3.01,44,7.33,3.39,0.69,0.7,0.47,0.37,58.84,131.67
61,110,3750,3452674,34,5.67,1.03,25,4.17,1.33,52,8.67,3.39,0.86,0.85,0.38,0.27,79.17,129.93
62,13,114,17619,11,2.75,0.5,11,2.75,0.5,11,2.75,0.5,1.0,1.0,0.42,0.36,93.94,127.65
63,12,245,41108,11,2.2,1.79,10,2.0,1.73,11,2.2,1.79,0.76,0.75,0.77,0.74,162.38,82.58
64,24,284,45723,20,5.0,1.41,18,4.5,1.29,20,5.0,1.41,0.6,0.55,0.36,0.34,97.38,113.25
65,16,311,72881,13,4.33,2.31,11,3.67,1.15,13,4.33,2.31,0.48,0.43,0.65,0.76,110.35,153.53
66,20,324,48221,18,4.5,3.11,16,4.0,2.83,18,4.5,3.11,0.74,0.74,0.54,0.58,136.84,156.41
67,27,313,50675,22,4.4,0.55,22,4.4,1.14,25,5.0,0.71,0.77,0.7,0.6,0.73,60.53,169.37
68,29,244,48933,25,6.25,2.5,20,5.0,1.41,25,6.25,2.5,0.8,0.77,0.53,0.44,64.19,174.2
69,16,319,90830,12,6.0,1.41,9,4.5,2.12,13,6.5,0.71,0.26,0.26,0.69,0.77,100.5,169.82
70,31,221,17061,26,6.5,1.0,24,6.0,1.63,28,7.0,0.82,0.98,0.98,0.53,0.56,92.78,186.66
71,22,186,25605,15,5.0,2.65,14,4.67,2.31,19,6.33,2.89,0.63,0.53,0.28,0.22,90.38,140.57
72,30,246,47454,25,5.0,3.74,25,5.0,3.94,27,5.4,3.97,0.64,0.64,0.43,0.51,65.31,119.24
73,44,383,59533,30,6.0,1.73,26,5.2,1.79,39,7.8,2.77,0.59,0.49,0.36,0.37,83.74,117.44
74,26,439,103266,21,4.2,1.3,23,4.6,1.14,23,4.6,1.14,0.37,0.25,0.56,0.63,88.87,135.29
75,18,119,11522,17,4.25,2.22,15,3.75,1.71,17,4.25,2.22,0.96,0.95,0.7,0.74,87.45,147.89
76,12,108,7310,9,2.25,1.26,9,2.25,1.26,12,3.0,1.15,0.46,0.39,0.6,0.66,1.68,101.31
77,5,171,38076,5,2.5,0.71,4,2.0,0.0,5,2.5,0.71,0.46,0.42,0.74,0.83,162.21,122.34
78,24,77,13110,15,3.0,1.58,15,3.0,1.58,24,4.8,3.63,0.3,0.25,0.48,0.51,25.99,90.8
79,25,119,8743,18,3.6,1.14,17,3.4,1.14,21,4.2,1.64,0.79,0.72,0.36,0.36,84.43,124.66
80,16,151,18180,14,4.67,1.53,11,3.67,1.53,14,4.67,1.53,1.0,1.0,0.46,0.39,122.59,134.64
81,19,65,4668,15,3.75,1.5,14,3.5,1.29,17,4.25,1.26,0.61,0.57,0.36,0.36,31.64,101.74
82,22,115,10259,14,3.5,1.91,13,3.25,1.71,21,5.25,4.03,0.64,0.62,0.67,0.64,53.66,83.65
83,28,344,71938,21,4.2,1.3,18,3.6,0.55,27,5.4,1.82,0.53,0.48,0.62,0.67,54.71,113.12
84,20,425,302194,13,4.33,2.52,9,3.0,1.0,15,5.0,3.61,0.96,0.93,0.59,0.52,108.43,114.3
85,25,286,40139,19,4.75,0.96,13,3.25,1.26,22,5.5,1.29,0.89,0.86,0.43,0.34,114.84,98.78
86,35,19013,4762017,29,4.83,0.98,23,3.83,1.17,32,5.33,1.03,0.47,0.38,0.39,0.31,92.84,117.5
87,37,226,39878,24,4.0,1.55,17,2.83,0.75,27,4.5,1.64,0.68,0.66,0.52,0.46,67.87,74.02
88,29,533,183288,26,5.2,2.05,21,4.2,2.17,28,5.6,2.07,0.5,0.38,0.45,0.45,65.36,137.69
89,22,149,41690,18,4.5,1.0,17,4.25,0.96,21,5.25,2.06,0.83,0.8,0.42,0.4,51.39,121.13
90,34,511,90173,26,5.2,1.79,20,4.0,1.58,28,5.6,1.95,0.84,0.82,0.52,0.53,115.94,129.56
91,25,710,144739,20,3.33,1.21,19,3.17,1.47,21,3.5,1.38,0.66,0.64,0.52,0.58,124.36,166.12
92,29,609,136985,24,4.8,0.45,19,3.8,0.84,26,5.2,0.45,0.43,0.38,0.41,0.46,86.35,167.16
93,30,278,67251,24,4.8,0.45,25,5.0,1.22,28,5.6,0.89,0.76,0.76,0.5,0.54,60.4,160.3
94,37,378,80386,28,5.6,0.89,26,5.2,1.1,32,6.4,0.89,0.97,0.96,0.35,0.31,69.74,151.08
95,38,386,101304,30,6.0,1.87,25,5.0,1.73,32,6.4,2.07,0.99,0.99,0.58,0.58,115.55,154.35
96,18,236,29396,16,5.33,3.06,11,3.67,2.31,16,5.33,3.06,1.0,1.0,0.43,0.44,136.16,99.5
97,43,452,109316,34,5.67,2.8,31,5.17,2.93,38,6.33,3.44,0.86,0.84,0.49,0.53,83.37,147.62
