id_time,n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,19,72,3962,7.0,5.0,18.0,0.08,0.06,0.58,0.59,3.17,183.74
1,22,151,10538,8.0,4.0,20.0,0.02,0.01,0.74,0.79,7.97,193.59
2,22,85,4705,10.0,3.0,22.0,0.01,0.01,0.36,0.35,2.82,171.27
3,36,140,7636,6.0,3.0,35.0,0.01,0.01,0.51,0.51,5.0,206.72
4,34,66,3066,9.0,8.0,33.0,0.18,0.17,0.62,0.66,1.77,221.79
5,24,303,23662,7.0,2.0,22.0,0.0,0.0,0.63,0.63,5.05,228.38
6,26,145,10177,10.0,6.0,25.0,0.07,0.04,0.19,0.13,0.0,222.65
7,32,72,3971,9.0,7.0,31.0,0.14,0.1,0.36,0.33,1.92,200.84
8,33,253,18356,9.0,9.0,30.0,0.03,0.02,0.49,0.48,5.47,198.58
9,29,192,13606,17.0,11.0,29.0,0.05,0.03,0.22,0.17,4.09,165.93
10,34,156,8856,11.0,11.0,33.0,0.08,0.05,0.49,0.51,3.18,184.91
11,35,81,3976,8.0,4.0,31.0,0.04,0.03,0.51,0.5,8.42,218.66
12,26,78,4274,9.0,5.0,25.0,0.08,0.06,0.54,0.54,2.29,192.88
13,19,70,3810,8.0,6.0,19.0,0.13,0.1,0.2,0.2,4.02,194.53
14,13,54,2935,6.0,4.0,13.0,0.06,0.04,0.67,0.69,12.27,216.0
15,19,70,3890,8.0,4.0,19.0,0.06,0.04,0.57,0.58,3.19,204.16
16,22,92,5074,5.0,3.0,20.0,0.03,0.02,0.41,0.42,8.0,201.82
17,32,190,13074,7.0,5.0,30.0,0.03,0.02,0.22,0.18,1.91,189.88
18,27,143,9822,7.0,3.0,25.0,0.02,0.01,0.19,0.12,2.27,208.41
19,31,157,11194,8.0,3.0,30.0,0.01,0.01,0.14,0.09,8.54,198.29
20,21,88,5282,10.0,5.0,20.0,0.08,0.05,0.53,0.56,5.36,170.67
21,19,49,2348,9.0,6.0,18.0,0.14,0.12,0.69,0.74,6.46,183.16
22,29,89,4458,7.0,4.0,27.0,0.02,0.02,0.57,0.58,2.14,219.07
23,23,83,4296,7.0,4.0,23.0,0.06,0.05,0.43,0.42,7.33,199.7
24,13,26,1490,8.0,5.0,13.0,0.15,0.11,0.58,0.53,8.35,159.15
25,17,87,5238,6.0,2.0,15.0,0.03,0.02,0.57,0.58,1.39,178.35
26,17,81,4612,5.0,4.0,17.0,0.07,0.06,0.65,0.66,4.09,205.0
27,9,29,1568,6.0,5.0,9.0,0.21,0.15,0.41,0.44,0.04,207.0
