id_time,n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
1,5,16,5080,3.0,3.0,3.0,0.94,0.99,0.44,0.1,0.12,209.0
2,4,15,5027,3.0,3.0,3.0,1.0,1.0,0.47,0.1,0.15,149.75
3,8,32,14642,5.0,5.0,5.0,1.0,1.0,0.5,0.38,0.18,173.38
4,6,33,6776,3.0,3.0,3.0,1.0,1.0,0.94,0.99,0.28,119.67
5,8,47,18384,3.0,3.0,3.0,1.0,1.0,0.47,0.21,0.27,148.0
6,6,26,9866,3.0,3.0,3.0,1.0,1.0,0.54,0.1,0.2,148.17
8,11,46,24392,5.0,6.0,6.0,0.98,0.98,0.15,0.02,0.16,173.27
9,8,20,5271,7.0,7.0,7.0,1.0,1.0,0.35,0.1,0.2,174.75
10,10,45,14129,5.0,6.0,6.0,1.0,1.0,0.49,0.27,0.19,150.0
11,8,36,6911,5.0,5.0,5.0,0.97,0.99,0.83,0.96,0.22,128.0
12,5,16,7311,4.0,4.0,4.0,1.0,1.0,0.5,0.38,0.14,168.6
13,12,52,14267,7.0,7.0,7.0,0.98,0.99,0.77,0.67,0.2,134.08
14,5,34,13451,2.0,2.0,2.0,1.0,1.0,0.44,0.25,0.31,169.6
16,9,31,10094,6.0,6.0,6.0,1.0,1.0,0.45,0.1,0.14,189.89
17,4,16,1114,3.0,3.0,3.0,1.0,1.0,0.88,0.92,0.18,152.0
19,5,27,10874,3.0,3.0,3.0,0.96,0.98,0.26,0.05,0.22,206.8
20,4,29,9082,2.0,2.0,2.0,1.0,1.0,0.55,0.37,0.59,151.25
22,7,37,13740,4.0,4.0,4.0,0.97,0.98,0.41,0.24,10.57,137.14
24,8,24,9579,6.0,6.0,6.0,0.96,1.0,0.33,0.06,0.11,200.12
25,3,20,11669,1.0,1.0,1.0,1.0,1.0,0.4,0.24,0.31,179.67
26,9,43,16490,6.0,6.0,6.0,0.95,1.0,0.16,0.03,0.18,158.44
27,7,24,6392,6.0,6.0,6.0,0.96,0.99,0.29,0.08,0.12,164.86
28,7,19,1260,6.0,6.0,6.0,0.95,0.95,0.74,0.81,0.1,135.0
29,3,18,9321,1.0,1.0,1.0,1.0,1.0,0.39,0.06,0.27,179.67
32,4,19,11605,2.0,2.0,2.0,1.0,1.0,0.42,0.24,0.23,148.5
35,7,49,16017,1.0,1.0,1.0,1.0,1.0,0.76,0.45,0.36,108.43
37,11,54,25005,5.0,5.0,5.0,0.96,0.98,0.26,0.04,0.19,163.73
38,4,30,14981,1.0,1.0,1.0,1.0,1.0,0.23,0.03,0.33,195.25
39,4,11,2933,3.0,3.0,3.0,1.0,1.0,0.73,0.96,0.12,201.0
40,6,48,18606,2.0,2.0,2.0,1.0,1.0,0.29,0.06,0.53,181.0
41,4,39,14641,1.0,1.0,1.0,1.0,1.0,0.38,0.23,0.78,148.5
42,7,33,14348,3.0,3.0,3.0,1.0,1.0,0.42,0.07,0.21,190.57
43,3,22,10048,1.0,1.0,1.0,1.0,1.0,0.73,0.56,0.4,117.33
45,5,29,6061,2.0,2.0,2.0,1.0,1.0,0.76,0.26,0.26,131.0
47,3,13,4931,2.0,2.0,2.0,1.0,1.0,0.54,0.1,0.19,181.0
48,4,27,12943,2.0,2.0,2.0,1.0,1.0,0.3,0.22,0.29,146.0
49,5,12,2981,4.0,5.0,5.0,1.0,1.0,0.67,0.94,0.09,171.8
50,2,14,7239,1.0,1.0,1.0,1.0,1.0,0.57,0.39,0.34,149.0
51,6,33,15112,3.0,3.0,3.0,1.0,1.0,0.21,0.03,0.21,214.17
53,4,15,5036,3.0,3.0,3.0,0.93,0.99,0.47,0.1,0.14,165.75
54,6,29,12262,3.0,3.0,3.0,1.0,1.0,0.52,0.27,0.21,182.33
56,1,7,513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,55.0
58,3,16,3366,2.0,2.0,2.0,1.0,1.0,0.94,0.99,0.27,51.67
59,6,28,10726,4.0,4.0,4.0,1.0,1.0,0.25,0.05,0.17,181.83
60,6,29,12250,3.0,3.0,3.0,1.0,1.0,0.52,0.27,0.27,148.83
61,6,23,5347,5.0,5.0,5.0,1.0,1.0,0.3,0.1,8.63,161.17
62,3,16,3366,2.0,2.0,2.0,1.0,1.0,0.94,0.99,0.27,55.0
63,2,14,7239,1.0,1.0,1.0,1.0,1.0,0.57,0.39,0.34,148.5
64,7,20,3534,6.0,6.0,6.0,1.0,1.0,0.75,0.94,0.11,146.57
65,4,16,1106,3.0,3.0,3.0,1.0,1.0,0.88,0.93,0.18,104.25
66,5,20,9401,3.0,3.0,3.0,1.0,1.0,0.35,0.05,0.16,206.0
67,2,8,615,2.0,2.0,2.0,0.88,0.83,0.88,0.83,0.18,56.5
68,2,13,4943,1.0,1.0,1.0,1.0,1.0,0.54,0.1,0.28,148.5
69,4,29,4348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,55.0
71,4,39,14642,1.0,1.0,1.0,1.0,1.0,0.38,0.23,0.44,149.0
72,8,43,20265,4.0,4.0,4.0,1.0,1.0,0.37,0.28,0.24,147.0
73,3,26,6686,1.0,1.0,1.0,1.0,1.0,0.54,0.15,0.38,117.33
74,4,18,5698,3.0,3.0,3.0,1.0,1.0,0.89,0.99,0.23,152.0
75,5,28,6009,2.0,2.0,2.0,1.0,1.0,0.75,0.26,0.26,92.4
76,4,10,821,4.0,4.0,4.0,0.8,0.67,0.7,0.62,0.09,199.5
77,5,21,11697,3.0,3.0,3.0,1.0,1.0,0.38,0.24,0.19,207.6
78,6,31,9203,4.0,4.0,4.0,0.97,0.99,0.48,0.36,0.21,113.83
