id_time,n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
17,11,114,22710,9.0,7.0,10.0,1.0,1.0,0.68,0.59,9.08,108.18
18,4,19,3458,4.0,3.0,4.0,0.42,0.13,0.32,0.1,0.14,129.0
20,5,97,15762,4.0,2.0,4.0,0.66,0.43,1.0,1.0,33.58,60.0
23,11,422,232182,7.0,5.0,10.0,0.98,0.98,0.49,0.13,8.2,72.55
25,7,103,26932,6.0,5.0,7.0,1.0,1.0,0.41,0.39,8.19,149.14
26,7,150,67964,5.0,4.0,6.0,1.0,1.0,0.57,0.25,5.77,114.71
27,10,456,210598,8.0,4.0,8.0,0.68,0.85,0.65,0.23,12.69,117.0
28,6,91,35512,5.0,4.0,6.0,0.67,0.69,0.57,0.33,0.62,153.83
29,8,141,40498,7.0,4.0,7.0,0.71,0.71,0.38,0.33,4.38,149.75
30,2,26,8173,2.0,2.0,2.0,0.04,0.01,0.96,0.99,5.23,154.5
31,1,30,10980,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.99,60.0
33,3,18,8346,3.0,2.0,3.0,0.44,0.11,0.44,0.27,5.19,54.33
34,4,14,1194,4.0,4.0,4.0,1.0,1.0,0.43,0.52,0.09,152.0
35,13,151,23553,9.0,6.0,12.0,0.99,0.98,0.75,0.47,9.15,105.08
37,6,79,26739,5.0,4.0,5.0,1.0,1.0,0.27,0.08,1.19,151.5
39,2,21,2036,2.0,2.0,2.0,1.0,1.0,0.95,0.98,0.05,156.5
40,4,97,23617,4.0,2.0,4.0,0.42,0.4,0.93,0.84,4.01,107.5
41,6,100,28597,6.0,3.0,6.0,0.76,0.68,0.26,0.21,13.43,151.67
42,3,59,4576,2.0,3.0,3.0,1.0,1.0,0.97,0.98,1.14,188.67
43,13,121,92105,7.0,7.0,11.0,0.99,1.0,0.32,0.03,2.34,116.77
44,9,99,50612,7.0,6.0,8.0,0.99,1.0,0.41,0.11,2.28,102.89
45,1,6,625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04,60.0
46,7,71,20218,6.0,4.0,7.0,0.89,0.85,0.59,0.39,1.31,84.57
47,7,103,25077,6.0,4.0,6.0,0.8,0.76,0.5,0.39,20.02,110.43
48,11,184,76107,8.0,5.0,11.0,0.99,1.0,0.41,0.11,9.05,80.91
52,4,24,1788,3.0,3.0,4.0,0.96,0.96,0.04,0.04,21.67,79.25
55,5,18,3163,5.0,5.0,5.0,1.0,1.0,0.39,0.47,0.02,130.4
58,14,255,150528,7.0,3.0,8.0,1.0,1.0,0.33,0.12,6.38,129.64
59,15,148,26203,5.0,2.0,6.0,1.0,1.0,0.58,0.74,16.75,99.67
60,12,4430,323851,4.0,2.0,5.0,1.0,1.0,0.99,0.93,20.57,91.5
61,13,152,38633,4.0,2.0,4.0,1.0,1.0,0.35,0.36,0.73,151.0
62,8,82,14879,5.0,4.0,7.0,0.52,0.39,0.24,0.36,69.03,150.0
63,12,147,37446,4.0,2.0,5.0,0.92,0.98,0.35,0.32,23.79,128.5
64,8,110,27256,4.0,2.0,4.0,1.0,1.0,0.38,0.39,5.98,135.38
65,17,250,97926,7.0,3.0,9.0,0.95,0.99,0.4,0.51,19.92,118.06
66,13,217,77775,4.0,3.0,6.0,1.0,1.0,0.44,0.35,1.91,78.77
