id_time,n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
109,14,216,73953,4.0,2.0,10.0,1.0,1.0,0.32,0.17,44.79,130.5
110,9,292,54010,6.0,4.0,9.0,1.0,1.0,0.49,0.34,89.83,129.44
111,6,35,8326,5.0,4.0,6.0,1.0,1.0,0.49,0.22,1.38,130.5
112,11,12662,14196922,6.0,3.0,8.0,1.0,1.0,0.21,0.01,32.15,111.64
113,8,220,33411,4.0,2.0,5.0,1.0,1.0,0.26,0.2,38.09,116.75
222,7,129,47082,4.0,2.0,6.0,1.0,1.0,0.74,0.66,7.72,114.0
494,34,20454,26462940,6.0,2.0,23.0,1.0,1.0,0.14,0.07,27.02,117.65
495,13,318,197482,7.0,3.0,12.0,1.0,1.0,0.31,0.12,83.2,128.69
496,3,91,67151,2.0,2.0,3.0,1.0,1.0,0.34,0.09,0.4,125.0
497,7,74,11906,6.0,3.0,7.0,1.0,1.0,0.58,0.28,102.88,143.29
498,6,64,13188,3.0,3.0,6.0,1.0,1.0,0.72,0.47,61.78,146.0
499,6,61,11507,2.0,2.0,4.0,1.0,1.0,0.49,0.17,204.3,107.0
500,10,124,31150,5.0,6.0,9.0,1.0,1.0,0.53,0.61,47.64,176.2
3394,15,1200,950155,5.0,2.0,9.0,1.0,1.0,0.27,0.05,34.22,64.2
3395,3,56,14209,1.0,1.0,1.0,1.0,1.0,0.21,0.15,2.03,81.67
3396,8,197,144708,5.0,3.0,7.0,1.0,1.0,0.32,0.12,12.21,63.12
3397,7,31,7432,6.0,6.0,7.0,1.0,1.0,0.19,0.06,4.63,120.29
3398,4,45,20996,4.0,4.0,4.0,1.0,1.0,0.38,0.13,0.27,149.25
3399,3,36,4885,3.0,3.0,3.0,0.97,0.99,0.53,0.57,1.57,120.67
8003,3,15,4058,3.0,2.0,3.0,1.0,1.0,0.27,0.06,0.06,135.33
9557,4,555,751604,4.0,3.0,4.0,1.0,1.0,1.0,1.0,5.21,103.75
9558,12,801,590909,2.0,1.0,11.0,1.0,1.0,0.38,0.13,4.72,74.25
9566,3,14,2902,3.0,2.0,3.0,0.93,0.99,0.79,0.94,0.52,51.0
9569,5,157,65102,5.0,4.0,5.0,1.0,1.0,0.46,0.78,59.03,179.6
9570,5,31,6838,3.0,3.0,3.0,1.0,1.0,0.55,0.39,12.5,134.4
9571,1,42,3052,1.0,1.0,1.0,1.0,1.0,0.52,0.5,270.08,61.0
9573,5,28,11267,4.0,3.0,4.0,1.0,1.0,0.46,0.31,0.05,131.8
9574,6,118,36534,5.0,3.0,5.0,1.0,1.0,0.46,0.6,48.14,193.17
9625,3,3,120,3.0,3.0,3.0,0.67,0.67,0.33,0.33,0.0,182.0
10119,12,113,34763,4.0,3.0,8.0,1.0,1.0,0.47,0.15,1.33,131.0
10128,6,38,9072,6.0,3.0,6.0,1.0,1.0,0.39,0.26,0.88,160.0
10129,4,4,212,2.0,2.0,2.0,1.0,1.0,0.25,0.43,0.0,200.5
10140,6,7,355,5.0,4.0,5.0,1.0,1.0,0.43,0.53,0.0,127.0
20428,3,3,158,3.0,3.0,3.0,0.67,0.56,0.33,0.44,0.0,115.33
26574,4,4,200,3.0,3.0,3.0,0.75,0.6,0.25,0.4,0.0,248.5
27318,1,6,504,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2.71,56.0
27346,9,16,1377,3.0,3.0,8.0,0.06,0.03,0.31,0.27,1.25,73.22
27347,36,56,2552,5.0,4.0,33.0,0.05,0.06,0.48,0.42,5.21,138.28
27348,76,107,4288,3.0,2.0,74.0,0.01,0.01,0.5,0.48,8.01,165.25
27349,77,97,3958,4.0,3.0,74.0,0.01,0.01,0.53,0.5,3.17,155.61
27350,68,98,4156,3.0,2.0,63.0,0.01,0.01,0.43,0.42,5.47,174.68
27351,95,124,4557,4.0,3.0,91.0,0.01,0.01,0.44,0.46,8.19,172.44
27352,76,96,3456,2.0,1.0,74.0,0.0,0.0,0.52,0.52,7.85,158.87
27353,75,109,3924,2.0,1.0,71.0,0.0,0.0,0.54,0.54,12.84,160.69
27354,81,107,3856,4.0,2.0,79.0,0.01,0.01,0.45,0.45,7.99,175.83
27355,95,146,5256,2.0,1.0,91.0,0.0,0.0,0.5,0.5,10.61,177.98
27356,82,116,4208,4.0,4.0,78.0,0.03,0.03,0.52,0.51,5.06,172.24
27357,80,97,3548,4.0,3.0,78.0,0.02,0.02,0.38,0.38,3.5,182.29
27358,100,130,4836,4.0,3.0,95.0,0.02,0.02,0.54,0.55,3.44,161.57
27359,81,108,3960,3.0,5.0,77.0,0.04,0.04,0.45,0.45,7.34,172.7
27360,80,100,3600,2.0,1.0,74.0,0.0,0.0,0.46,0.46,3.75,171.21
27361,83,111,4000,3.0,2.0,80.0,0.01,0.01,0.5,0.5,8.68,162.99
27362,75,89,3204,2.0,1.0,74.0,0.0,0.0,0.53,0.53,3.92,155.79
27363,90,113,4252,7.0,6.0,84.0,0.04,0.05,0.4,0.4,6.02,179.89
27364,87,105,3788,3.0,2.0,82.0,0.01,0.01,0.47,0.47,3.46,171.69
27365,70,97,3496,4.0,2.0,67.0,0.01,0.01,0.48,0.48,7.71,178.54
27366,78,109,4329,3.0,2.0,75.0,0.0,0.0,0.45,0.41,7.69,179.64
27367,77,100,3604,3.0,2.0,74.0,0.01,0.01,0.49,0.49,4.68,169.42
27368,86,109,3932,3.0,2.0,83.0,0.01,0.01,0.48,0.48,7.68,169.03
27369,70,92,3312,2.0,1.0,66.0,0.0,0.0,0.48,0.48,6.85,172.3
27370,69,99,3975,4.0,3.0,66.0,0.01,0.02,0.53,0.47,11.1,162.93
27371,49,69,2488,3.0,2.0,46.0,0.01,0.02,0.58,0.58,10.81,153.12
27372,75,94,3392,3.0,3.0,72.0,0.02,0.02,0.47,0.47,4.78,173.49
27373,65,91,3276,2.0,1.0,61.0,0.0,0.0,0.58,0.58,13.55,146.65
27400,39,44,1616,4.0,3.0,39.0,0.05,0.06,0.11,0.11,3.07,224.69
27401,40,44,1632,3.0,3.0,39.0,0.05,0.07,0.55,0.53,1.5,143.18
27402,49,66,2380,3.0,2.0,48.0,0.02,0.02,0.45,0.45,9.79,183.63
27430,54,70,2520,2.0,1.0,53.0,0.0,0.0,0.49,0.49,5.58,168.61
27431,54,70,2540,4.0,3.0,51.0,0.03,0.04,0.46,0.45,4.49,174.94
27432,59,79,2860,3.0,2.0,59.0,0.01,0.02,0.52,0.52,5.13,169.1
27433,64,91,3284,3.0,2.0,60.0,0.01,0.01,0.58,0.58,12.11,151.08
27434,63,82,2968,5.0,4.0,62.0,0.04,0.04,0.46,0.46,7.6,174.11
27435,52,76,2761,3.0,2.0,49.0,0.0,0.0,0.49,0.48,13.83,172.52
27436,79,102,3672,2.0,1.0,71.0,0.0,0.0,0.4,0.4,6.84,181.37
27437,52,79,2848,3.0,2.0,51.0,0.01,0.01,0.57,0.57,9.7,162.83
