id_time,n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
7191,3,3,166,3.0,3.0,3.0,0.67,0.53,0.33,0.47,0.0,137.0
12619,2,2,118,2.0,2.0,2.0,0.5,0.34,0.5,0.66,0.0,247.5
19765,3,6,248,3.0,3.0,3.0,1.0,1.0,0.33,0.32,0.03,250.67
19767,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,252.0
19769,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,252.0
19770,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,252.0
19771,1,2,80,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,245.0
19774,2,2,80,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.0,251.0
19775,4,6,349,4.0,4.0,4.0,0.83,0.64,0.17,0.11,0.03,151.25
19776,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,253.0
19777,1,2,80,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,250.0
19778,2,5,200,2.0,2.0,2.0,1.0,1.0,0.2,0.2,0.2,244.0
19779,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,253.0
19781,3,4,172,2.0,3.0,3.0,1.0,1.0,0.25,0.23,0.01,182.33
19784,3,4,160,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.0,250.67
19785,2,3,160,2.0,2.0,2.0,1.0,1.0,0.33,0.25,0.5,156.0
19786,1,3,120,1.0,1.0,1.0,1.0,1.0,0.33,0.33,0.06,245.0
19789,3,6,248,3.0,3.0,3.0,1.0,1.0,0.33,0.32,0.04,250.33
19790,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,252.0
19792,2,2,84,2.0,2.0,2.0,1.0,1.0,0.5,0.48,0.0,149.0
19794,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,252.0
19795,4,7,699,4.0,4.0,4.0,0.86,0.37,0.43,0.17,0.0,69.5
19797,4,8,344,4.0,4.0,4.0,1.0,1.0,0.5,0.47,0.01,199.5
19798,4,6,244,4.0,4.0,4.0,1.0,1.0,0.83,0.82,4.84,200.5
19799,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,252.0
19800,3,4,235,3.0,3.0,3.0,0.75,0.53,0.5,0.34,0.0,117.0
19801,2,3,124,2.0,2.0,2.0,1.0,1.0,0.67,0.65,0.0,249.5
19802,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,253.0
19803,2,4,184,2.0,2.0,2.0,1.0,1.0,0.25,0.22,0.05,149.5
19804,1,2,80,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,247.0
19805,4,6,322,4.0,4.0,4.0,0.83,0.66,0.33,0.25,0.0,152.75
19806,4,7,293,4.0,4.0,4.0,0.86,0.85,0.29,0.27,0.03,250.25
19807,2,2,84,2.0,2.0,2.0,1.0,1.0,0.5,0.48,0.0,147.5
19810,2,3,124,2.0,2.0,2.0,1.0,1.0,0.67,0.65,0.0,148.5
19811,4,5,216,4.0,4.0,4.0,1.0,1.0,0.2,0.19,0.01,251.5
19814,2,2,84,2.0,2.0,2.0,1.0,1.0,0.5,0.48,0.0,148.0
19815,3,7,280,3.0,3.0,3.0,1.0,1.0,0.14,0.14,0.05,249.33
19816,2,3,124,2.0,2.0,2.0,1.0,1.0,0.67,0.65,0.0,148.5
19818,1,1,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,252.0
