id_time,n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
1494,2,2,84,2.0,2.0,2.0,1.0,1.0,0.5,0.52,0.0,155.5
4612,3,3,124,3.0,3.0,3.0,1.0,1.0,0.33,0.32,0.0,135.33
4926,4,4,164,4.0,4.0,4.0,1.0,1.0,0.25,0.24,0.0,144.75
7512,6,9,391,5.0,6.0,6.0,0.78,0.74,0.11,0.11,0.0,152.33
8860,23,14222,15311369,8.0,12.0,18.0,0.52,0.55,0.17,0.02,18.7,120.65
8861,20,9895,1827657,9.0,11.0,16.0,0.0,0.01,1.0,0.99,19.66,123.2
8862,24,290,174069,7.0,16.0,17.0,0.93,0.86,0.03,0.06,12.41,123.29
8863,29,200,86647,11.0,17.0,22.0,0.86,0.59,0.09,0.26,10.38,120.55
8864,27,476,445677,7.0,14.0,16.0,0.96,0.95,0.32,0.06,4.84,119.33
8865,19,273,93896,5.0,12.0,16.0,0.93,0.75,0.12,0.14,31.19,113.84
8866,20,21928,13499900,6.0,12.0,17.0,0.0,0.0,0.46,0.14,29.83,111.3
8867,18,41,32625,8.0,11.0,15.0,0.56,0.27,0.71,0.67,0.38,138.56
8870,9,136,40725,5.0,2.0,5.0,1.0,1.0,0.46,0.37,20.61,178.0
8871,21,725,355296,9.0,6.0,11.0,0.98,0.99,0.52,0.15,34.32,136.38
8872,47,817,805347,16.0,19.0,28.0,0.97,0.97,0.23,0.06,11.31,125.17
8873,38,3686,3998509,12.0,18.0,26.0,0.99,0.99,0.25,0.05,4.39,125.39
8874,34,3740,730205,16.0,16.0,21.0,0.13,0.13,0.11,0.12,23.92,138.18
8875,10,65,13418,6.0,6.0,7.0,0.72,0.53,0.74,0.8,29.3,167.1
8877,6,97,11330,4.0,4.0,5.0,0.81,0.46,0.76,0.63,47.66,154.0
8878,9,204,55998,8.0,8.0,8.0,0.99,1.0,0.12,0.03,65.11,178.44
8879,6,87,11035,3.0,3.0,4.0,0.82,0.52,0.45,0.38,48.19,164.83
8880,10,55,25311,7.0,6.0,7.0,0.98,1.0,0.09,0.01,17.02,192.7
8883,10,19,4845,5.0,5.0,5.0,1.0,1.0,0.26,0.13,0.29,205.5
8884,10,50,16284,7.0,8.0,8.0,0.18,0.29,0.48,0.41,0.98,133.7
8885,6,48,8484,6.0,6.0,6.0,0.98,0.84,0.94,0.99,51.81,184.83
8886,28,513,157287,14.0,22.0,24.0,0.95,0.76,0.48,0.3,11.91,101.61
8887,21,22,20213,9.0,17.0,17.0,0.32,0.01,0.59,0.79,0.0,142.1
8888,32,7669,1303457,8.0,17.0,20.0,0.01,0.04,0.13,0.15,11.3,123.81
8889,32,10416,1787857,8.0,16.0,19.0,0.0,0.01,1.0,0.99,9.46,122.94
8890,23,6984,1107893,10.0,17.0,20.0,0.01,0.01,0.19,0.22,24.25,115.35
8891,28,641,247352,10.0,18.0,20.0,0.96,0.86,0.46,0.17,10.66,102.79
8892,17,212,50141,9.0,14.0,16.0,0.88,0.7,0.33,0.32,50.33,108.71
