id_time,n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
23,5,111,17027,2.0,3.0,5.0,1.0,1.0,0.36,0.48,19.68,105.0
26,3,4,222,3.0,3.0,3.0,1.0,1.0,0.5,0.64,0.01,186.0
34,2,39,5729,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.07,60.0
35,6,635,850228,3.0,3.0,4.0,1.0,1.0,0.05,0.01,0.18,86.83
38,10,658,166646,6.0,4.0,10.0,1.0,1.0,0.64,0.46,53.24,92.0
39,2,65,33544,2.0,2.0,2.0,1.0,1.0,0.57,0.93,30.33,152.5
40,4,34,4772,4.0,3.0,4.0,1.0,1.0,0.12,0.05,31.83,197.75
41,10,841,530679,5.0,4.0,9.0,1.0,1.0,0.55,0.33,33.92,136.1
42,3,40,4737,2.0,2.0,3.0,1.0,1.0,0.32,0.53,42.23,183.67
43,4,37,18280,3.0,3.0,4.0,0.95,0.99,0.32,0.22,0.07,151.5
44,4,36,5488,4.0,3.0,4.0,1.0,1.0,0.92,0.98,0.43,103.5
45,9,219,135649,7.0,8.0,9.0,1.0,1.0,0.43,0.33,21.53,203.44
46,3,28,20329,2.0,2.0,3.0,1.0,1.0,0.96,1.0,4.34,124.33
47,6,49,13226,4.0,2.0,5.0,1.0,1.0,0.33,0.12,0.22,126.83
48,7,154,82530,6.0,5.0,7.0,1.0,1.0,0.46,0.42,22.67,86.0
59,5,30,9883,5.0,4.0,5.0,1.0,1.0,0.43,0.18,0.22,135.2
65,14,742,466708,10.0,5.0,14.0,1.0,1.0,0.51,0.18,6.63,86.57
66,4,24,4024,4.0,3.0,4.0,0.96,0.99,0.88,0.97,11.74,155.75
67,12,990,736749,3.0,3.0,11.0,1.0,1.0,0.32,0.05,32.02,75.75
68,16,488,173822,7.0,5.0,13.0,1.0,1.0,0.5,0.39,17.5,70.69
69,5,118,46869,3.0,3.0,4.0,0.38,0.41,0.51,0.53,15.62,96.0
70,5,34,18010,5.0,5.0,5.0,1.0,1.0,0.85,0.99,1.22,130.8
71,8,60,20485,8.0,6.0,8.0,1.0,1.0,0.5,0.21,0.38,178.0
72,4,31,8934,2.0,2.0,3.0,1.0,1.0,0.77,0.58,0.87,103.75
73,11,89,25147,10.0,6.0,11.0,0.89,0.8,0.7,0.49,14.8,112.18
74,4,162,83722,3.0,3.0,4.0,1.0,1.0,0.63,0.79,4.36,107.0
75,14,43878,42451225,6.0,2.0,13.0,1.0,1.0,0.25,0.01,20.46,73.0
76,12,2445,2478670,9.0,3.0,11.0,1.0,1.0,0.19,0.02,14.04,91.42
77,6,332,49675,5.0,3.0,6.0,1.0,1.0,0.87,0.73,0.52,87.33
78,16,270,107518,8.0,4.0,12.0,0.99,1.0,0.37,0.24,8.63,81.06
79,4,54,14427,3.0,3.0,3.0,1.0,1.0,0.48,0.28,15.26,123.75
